Date,MMWR_week,Location,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
2021-12-07,49,TX,49717965,171466,38128091,131495,155983,160538,218230
2021-12-07,49,OK,6083560,153743,4998345,126317,148880,155266,223346
2021-12-07,49,MO,9414505,153395,7619697,124151,143729,149283,215534
2021-12-07,49,SD,1527585,172675,1185420,133997,158117,164544,238801
2021-12-07,49,VT,1322810,211993,1158512,185662,205433,209376,283065
2021-12-07,49,NC,17959160,171234,13919561,132718,152662,157851,223029
2021-12-07,49,NE,3214650,166183,2673734,138220,162503,168904,243058
2021-12-07,49,FL,39008865,181625,31736555,147765,168327,173093,238417
2021-12-07,49,ID,2792720,156274,1927060,107834,0,143817,219805
2021-12-07,49,OH,18559105,158773,14815116,126743,146109,152039,223089
2021-12-07,49,CO,10314095,179103,8866050,153958,176059,181044,242322
2021-12-07,49,UT,5085980,158642,4182706,130467,158728,164892,236365
2021-12-07,49,WA,14265985,187343,11700091,153647,176811,181030,240705
2021-12-07,49,MA,13563390,196785,11954533,173443,194262,197743,247921
2021-12-07,49,RI,2084695,196788,1796376,169572,190314,194106,258613
2021-12-07,49,MN,10094190,178987,8516193,151006,174222,179911,253889
2021-12-07,49,NM,3688745,175920,3212184,153192,177104,182513,234821
2021-12-07,49,LA,6721780,144592,5325498,114557,135094,141193,212166
2021-12-07,49,VA,15841765,185598,13480440,157933,180501,184364,239410
2021-12-07,49,WI,9458955,162457,8430572,144795,165986,172058,253171
2021-12-07,49,ME,2713490,201865,2305652,171524,191139,195792,259246
2021-12-07,49,CT,6935615,194532,6155509,172651,194860,198856,258672
2021-12-07,49,MT,1668645,156126,1357530,127017,146131,151521,219941
2021-12-06,49,UT,5062460,157908,4146853,129348,157641,163705,235225
2021-12-06,49,OH,18498615,158255,14783790,126475,145858,151768,222863
2021-12-06,49,WV,3396865,189542,2136574,119219,136807,141116,205367
2021-12-06,49,DE,1880895,193157,1460016,149935,172248,176664,246219
2021-12-06,49,VA,15822135,185368,13441242,157474,180097,183932,239073
2021-12-06,49,CA,71475695,180895,61099523,154634,178644,182438,235525
2021-12-06,49,AR,4842600,160468,3598840,119254,139094,143943,202046
2021-12-06,49,NY,36218565,186180,30686689,157743,180831,184656,217450
2021-12-06,49,WA,14221055,186753,11555341,151747,175225,179338,239242
2021-12-06,49,TX,49437205,170497,38018591,131117,155614,160146,217705
2021-12-06,49,NV,4800170,155842,4043027,131260,152955,157994,211315
2021-12-06,49,NJ,17272705,194464,13829601,155700,178967,183172,226496
2021-12-06,49,SD,1523115,172170,1175872,132918,157068,163415,237753
2021-12-06,49,ME,2700850,200924,2282249,169783,189527,194078,257772
2021-12-06,49,NH,2700850,198634,2171257,159685,179511,182925,246529
2021-12-06,49,CT,6921565,194138,6142778,172294,194542,198514,258451
2021-12-06,49,IL,21789595,171953,18323339,144599,165797,170433,225692
2021-12-06,49,ND,1164030,152747,914573,120013,141510,147381,224818
2021-12-06,49,FL,38919675,181209,31661954,147418,167983,172728,238097
2021-12-06,49,HI,2845210,200951,2113253,149255,171766,175056,219315
2021-12-06,49,MN,10039850,178023,8503198,150776,173986,179656,253740
2021-12-06,49,KY,7118965,159344,5548984,124203,144091,149916,215695
2021-12-06,49,MT,1665325,155816,1347419,126071,145300,150637,219084
2021-12-06,49,WY,820505,141770,644324,111329,130280,136679,210434
2021-12-06,49,MO,9396215,153097,7619689,124151,143729,149282,215534
2021-12-06,49,AL,7866010,160427,5348564,109083,127069,132717,196770
2021-12-06,49,NM,3654855,174304,3206399,152917,176855,182248,234568
2021-12-06,49,AK,1289415,176259,979003,133827,157729,162784,218990
2021-12-06,49,VT,1321910,211848,1154298,184987,204889,208797,282723
2021-12-06,49,LA,6695020,144016,5318977,114416,134939,141029,212009
2021-12-06,49,MA,13522470,196191,11926838,173041,193920,197379,247651
2021-12-06,49,IA,5371035,170235,4276349,135539,157733,164187,243997
2021-12-06,49,KS,4845935,166338,3780592,129769,152069,157685,230340
2021-12-06,49,MS,4474265,150337,3217894,108123,127173,132899,198928
2021-12-06,49,OR,8072925,191404,6354973,150673,171240,175422,228660
2021-12-06,49,MD,12344110,204181,9685901,160212,184156,187678,240209
2021-12-06,49,SC,8424735,163628,6335828,123057,142070,147651,220067
2021-12-06,49,TN,10344940,151482,8301992,121567,141262,147608,220115
2021-12-06,49,RI,2075095,195882,1792390,169195,189978,193744,258342
2021-12-06,49,NE,3195650,165200,2644666,136717,161094,167376,241770
2021-12-06,49,GA,17556895,165359,12392835,116722,136785,142493,206031
2021-12-06,49,WI,9379555,161093,8417573,144571,165782,171839,253015
2021-12-06,49,PA,24070415,188021,18752532,146481,166858,171970,236316
2021-12-06,49,MI,16759460,167815,13075257,130925,149972,155709,223839
2021-12-06,49,CO,10297835,178821,8830527,153341,175568,180521,241849
2021-12-06,49,IN,10246880,152207,7952476,118126,138008,144045,220817
2021-12-06,49,NC,17893360,170607,13826565,131831,151855,156991,221866
2021-12-06,49,OK,6048270,152851,4989942,126105,148667,155036,223097
2021-12-06,49,ID,2782680,155712,1924767,107705,0,143646,219657
2021-12-06,49,AZ,11875480,163153,9819974,134914,156395,161012,224826
2021-12-05,49,NY,36238675,186283,30601761,157307,180430,184232,217059
2021-12-05,49,SD,1523675,172233,1174889,132807,156950,163287,237531
2021-12-05,49,IN,10250710,152263,7922343,117678,137578,143581,220396
2021-12-05,49,WI,9388095,161240,8389937,144097,165400,171427,252612
2021-12-05,49,PA,24092535,188194,18611779,145382,165816,170857,235130
2021-12-05,49,NE,3196850,165262,2644360,136701,161075,167355,241743
2021-12-05,49,KS,4847395,166388,3769564,129391,151748,157342,230071
2021-12-05,49,NM,3657235,174417,3196747,152456,176476,181842,234241
2021-12-05,49,MO,9399435,153149,7582491,123545,143149,148660,214971
2021-12-05,49,NJ,17275555,194497,13800980,155378,178673,182857,226212
2021-12-05,49,WV,3414545,190528,2136465,119213,136800,141109,205366
2021-12-05,49,MD,12348050,204246,9668291,159921,183872,187373,239947
2021-12-05,49,GA,17559415,165383,12392685,116720,136783,142491,206028
2021-12-05,49,OH,18499735,158265,14734092,126050,145481,151363,222498
2021-12-05,49,FL,38941975,181313,31545697,146876,167446,172159,237545
2021-12-05,49,TX,49488445,170674,37937443,130837,155357,159875,217446
2021-12-05,49,OK,6052050,152947,4977919,125801,148380,154729,222820
2021-12-05,49,MN,10042420,178069,8477006,150311,173572,179208,253397
2021-12-05,49,NC,17903560,170704,13813220,131704,151736,156865,221786
2021-12-05,49,VT,1323590,212118,1148504,184058,204033,207889,282105
2021-12-05,49,UT,5065540,158004,4146771,129346,157639,163703,235224
2021-12-05,49,SC,8433135,163791,6312727,122608,141626,147175,219577
2021-12-05,49,MA,13537870,196414,11868412,172193,193267,196687,247105
2021-12-05,49,DE,1882015,193272,1460015,149935,172248,176664,246219
2021-12-05,49,ND,1164170,152766,914552,120010,141509,147379,224818
2021-12-05,49,CA,71498885,180954,60900969,154132,178191,181960,235127
2021-12-05,49,CT,6925945,194261,6140550,172232,194474,198442,258377
2021-12-05,49,TN,10355880,151642,8301835,121564,141260,147605,220110
2021-12-05,49,RI,2075515,195921,1784095,168412,189301,193022,257818
2021-12-05,49,IL,21800095,172036,18244439,143976,165255,169856,225216
2021-12-05,49,NH,2700990,198644,2166585,159342,179162,182553,246148
2021-12-05,49,NV,4802530,155918,4027559,130758,152465,157471,210834
2021-12-05,49,ME,2700850,200924,2280951,169687,189424,193967,257610
2021-12-05,49,IA,5371735,170257,4276328,135538,157732,164187,243997
2021-12-05,49,ID,2783520,155759,1919828,107429,0,143277,219349
2021-12-05,49,MS,4479865,150526,3217870,108122,127172,132898,198928
2021-12-05,49,VA,15834735,185516,13378547,156740,179473,183265,238514
2021-12-05,49,OR,8077405,191510,6328863,150054,170746,174896,228169
2021-12-05,49,WA,14232785,186907,11555301,151746,175225,179338,239242
2021-12-05,49,AR,4853660,160834,3590467,118976,138832,143661,201786
2021-12-05,49,HI,2846330,201030,2111635,149140,171665,174951,219232
2021-12-05,49,AL,7868950,160487,5335387,108815,126799,132428,196468
2021-12-05,49,MI,16761140,167832,13035927,130531,149617,155328,223471
2021-12-05,49,KY,7122045,159413,5531666,123815,143741,149541,215349
2021-12-05,49,WY,821905,142012,644277,111320,130270,136669,210423
2021-12-05,49,MT,1665325,155816,1347355,126065,145294,150631,219082
2021-12-05,49,AK,1289555,176278,971777,132839,156939,161948,218120
2021-12-05,49,AZ,11884300,163275,9784696,134429,155971,160564,224370
2021-12-05,49,LA,6704260,144215,5306686,114152,134670,140741,211685
2021-12-05,49,CO,10299095,178843,8786033,152569,174890,179796,241327
2021-12-04,48,TX,49524075,170797,37807477,130389,154932,159421,216962
2021-12-04,48,NH,2703090,198799,2163149,159089,178913,182286,245877
2021-12-04,48,SC,8440975,163943,6283794,122046,141038,146542,218753
2021-12-04,48,VT,1324010,212185,1137824,182347,202417,206169,280790
2021-12-04,48,WA,14237445,186968,11554626,151737,175217,179329,239226
2021-12-04,48,MO,9425475,153574,7548239,122987,142583,148047,214176
2021-12-04,48,ND,1164450,152803,914374,119987,141487,147356,224782
2021-12-04,48,AL,7895690,161032,5311207,108322,126291,131879,195657
2021-12-04,48,CA,71539745,181057,60589671,153344,177427,181148,234265
2021-12-04,48,OH,18507155,158328,14665037,125459,144868,150702,221711
2021-12-04,48,NY,36272085,186455,30461698,156587,179767,183534,216406
2021-12-04,48,CT,6930805,194397,6088039,170759,193220,197092,257322
2021-12-04,48,PA,24110735,188336,18607727,145350,165780,170819,235064
2021-12-04,48,MS,4494225,151008,3217590,108113,127162,132887,198910
2021-12-04,48,NE,3200970,165475,2644089,136687,161058,167337,241705
2021-12-04,48,NJ,17289135,194649,13749559,154799,178148,182295,225720
2021-12-04,48,OK,6075340,153535,4974895,125725,148297,154639,222730
2021-12-04,48,UT,5068320,158091,4146453,129336,157628,163690,235203
2021-12-04,48,WV,3418845,190768,2136051,119189,136774,141080,205306
2021-12-04,48,KY,7136885,159745,5506921,123262,143177,148933,214603
2021-12-04,48,TN,10372540,151886,8301360,121557,141252,147596,220095
2021-12-04,48,AZ,11899120,163478,9746039,133898,155444,160003,223648
2021-12-04,48,AK,1290675,176431,971750,132835,156935,161943,218101
2021-12-04,48,IL,21820445,172197,18132229,143091,164385,168921,224329
2021-12-04,48,SD,1524655,172344,1173657,132668,156821,163152,237393
2021-12-04,48,NM,3660875,174591,3181545,151731,175775,181089,233443
2021-12-04,48,GA,17594455,165713,12391699,116711,136773,142480,206011
2021-12-04,48,MN,10049700,178198,8428053,149443,172764,178335,252543
2021-12-04,48,RI,2076215,195987,1775434,167595,188492,192157,256935
2021-12-04,48,KS,4856915,166714,3748827,128679,151046,156584,229168
2021-12-04,48,ID,2787440,155979,1911340,106954,0,142645,218574
2021-12-04,48,WY,822045,142036,643976,111268,130222,136617,210326
2021-12-04,48,MT,1667705,156038,1346908,126023,145257,150593,219039
2021-12-04,48,VA,15846355,185652,13309662,155933,178724,182463,237598
2021-12-04,48,IA,5378035,170457,4276039,135529,157721,164175,243967
2021-12-04,48,CO,10310215,179036,8720416,151429,173778,178606,240017
2021-12-04,48,MI,16768180,167902,12973185,129903,149005,154671,222649
2021-12-04,48,MA,13552150,196622,11809842,171343,192465,195830,246319
2021-12-04,48,NV,4812310,156236,4011685,130243,151923,156890,210077
2021-12-04,48,ME,2702110,201018,2280037,169619,189356,193894,257522
2021-12-04,48,MD,12356170,204380,9629968,159287,183317,186779,239461
2021-12-04,48,LA,6740800,145001,5283707,113658,134134,140164,210810
2021-12-04,48,FL,39037335,181757,31417561,146280,166828,171501,236712
2021-12-04,48,DE,1883695,193445,1459889,149922,172233,176648,246192
2021-12-04,48,NC,17930700,170963,13791746,131499,151528,156640,221614
2021-12-04,48,WI,9395795,161372,8342331,143279,164579,170539,251378
2021-12-04,48,IN,10263030,152446,7898249,117320,137201,143172,219891
2021-12-04,48,HI,2847390,201105,2106271,148761,171399,174681,218975
2021-12-04,48,OR,8082865,191640,6299207,149350,170108,174214,227381
2021-12-04,48,AR,4879700,161697,3561421,118014,137858,142623,200313
2021-12-03,48,NY,36224955,186212,30307646,155795,178977,182692,215417
2021-12-03,48,CO,10313535,179094,8718877,151403,173747,178572,239978
2021-12-03,48,IL,21816755,172167,18011032,142135,163446,167913,223150
2021-12-03,48,NM,3657855,174447,3166048,150992,174993,180244,232398
2021-12-03,48,NE,3202830,165572,2617961,135337,159684,165847,239768
2021-12-03,48,KY,7136765,159742,5473248,122508,142401,148128,213559
2021-12-03,48,ND,1158890,152073,908646,119235,140716,146534,223708
2021-12-03,48,WY,822325,142084,640504,110669,129612,135958,209387
2021-12-03,48,GA,17619375,165948,12472947,117476,137756,143581,210749
2021-12-03,48,OK,6074390,153511,4930732,124609,147121,153362,220922
2021-12-03,48,KS,4859615,166807,3728985,127998,150360,155840,228162
2021-12-03,48,CA,71475395,180894,60285583,152575,176673,180347,233338
2021-12-03,48,ID,2785190,155853,1903110,106494,0,142031,217754
2021-12-03,48,MO,9421665,153512,7502473,122241,141838,147249,213140
2021-12-03,48,RI,2076275,195993,1765646,166671,187554,191156,255783
2021-12-03,48,IA,5337155,169161,4252376,134779,156991,163382,242916
2021-12-03,48,OR,8093835,191900,6269728,148651,169463,173526,226493
2021-12-03,48,WI,9396555,161385,8293697,142444,163740,169633,250182
2021-12-03,48,NH,2695150,198215,2153490,158379,178185,181505,244972
2021-12-03,48,AL,7902810,161177,5301858,108131,126086,131657,195261
2021-12-03,48,MA,13541520,196467,11743785,170385,191561,194864,245245
2021-12-03,48,ME,2696630,200610,2263819,168412,188182,192644,256211
2021-12-03,48,TN,10375960,151936,8259043,120938,140604,146895,219032
2021-12-03,48,DE,1885655,193646,1459772,149910,172219,176633,246167
2021-12-03,48,WA,14239885,187000,11514898,151215,174683,178757,238496
2021-12-03,48,LA,6748560,145168,5255554,113052,133452,139430,209663
