filenames,done,total_tweets,good_tweets
2020_may14-may15.csv,1,1652,1516
2020_may15_may16.csv,1,1583,1444
2020_may16_may17.csv,1,1487,1333
2020_may17_may18.csv,1,1341,1247
2020_may18_may19.csv,1,1398,1283
2020_may19_may20.csv,1,1389,1258
2020_may1_may2.csv,1,1866,1670
2020_may20_may21.csv,1,1397,1280
2020_may21_may22.csv,1,1562,1428
2020_may22_may23.csv,1,1558,1444
2020_may23-may24.csv,1,1299,1185
2020_may23_may24.csv,1,1299,1185
2020_may24_may25.csv,1,1297,1183
2020_may25-may26.csv,1,1190,1089
2020_may25_may26.csv,1,1190,1089
2020_may26-may27.csv,1,1184,1085
2020_may26_may27.csv,1,1184,1085
2020_may27_may28.csv,1,1257,1136
2020_may28_may29.csv,1,1277,1176
2020_may29_may30.csv,1,1202,1103
2020_may2_may3.csv,1,1839,1655
2020_may30_may31.csv,1,1209,1113
2020_may31_june1.csv,1,1080,981
2020_may3_may4.csv,1,1566,1404
2020_may4_may5.csv,1,1615,1472
2020_may5_may6.csv,1,1635,1510
2020_may6_may7.csv,1,1571,1422
2020_may7_may8.csv,1,1621,1489
2020_may8_may9.csv,1,1684,1520
2020_may9_may10.csv,1,1474,1312
2020_november10_november11.csv,1,618,556
2020_november11_november12.csv,1,632,569
2020_november12_november13.csv,1,586,533
2020_november13_november14.csv,1,620,561
2020_november14_november15.csv,1,674,617
2020_november15_november16.csv,1,637,570
2020_november16_november17.csv,1,521,455
2020_november17_november18.csv,1,591,541
2020_november18_november19.csv,1,639,546
2020_november19_november20.csv,1,673,592
2020_november1_november2.csv,1,780,712
2020_november20_november21.csv,1,657,591
2020_november21_november22.csv,1,694,607
2020_november22_november23.csv,1,644,574
2020_november23_november24.csv,1,595,528
2020_november24_november25.csv,1,649,555
2020_november25_november26.csv,1,675,596
2020_november26_november27.csv,1,821,752
2020_november27_november28.csv,1,606,534
2020_november28_november29.csv,1,633,541
2020_november29_november30.csv,1,560,501
2020_november2_november3.csv,1,690,638
2020_november30_december1.csv,1,551,486
2020_november3_november4.csv,1,763,697
2020_november4_november5.csv,1,838,769
2020_november5_november6.csv,1,944,863
2020_november6_november7.csv,1,734,655
2020_november7_november8.csv,1,691,628
2020_november8_november9.csv,1,616,550
2020_november9_november10.csv,1,463,408
2020_october10_october11.csv,1,577,522
2020_october11_october12.csv,1,504,457
2020_october12_october13.csv,1,551,509
2020_october13_october14.csv,1,486,433
2020_october14_october15.csv,1,611,551
2020_october15_october16.csv,1,518,462
2020_october16_october17.csv,1,593,544
2020_october17_october18.csv,1,624,558
2020_october18_october19.csv,1,507,449
2020_october19_october20.csv,1,594,533
2020_october1_october2.csv,1,641,582
2020_october20_october21.csv,1,589,529
2020_october21_october22.csv,1,580,520
2020_october22_october23.csv,1,582,519
