State,Date,New Cases,Historic Cases
United States,Jun 26 2021,13178,0
United States,Jun 25 2021,15092,0
United States,Jun 24 2021,15537,0
United States,Jun 23 2021,13861,0
United States,Jun 22 2021,13476,0
United States,Jun 21 2021,8653,0
United States,Jun 20 2021,8932,0
United States,Jun 19 2021,12398,0
United States,Jun 18 2021,12026,0
United States,Jun 17 2021,13275,0
United States,Jun 16 2021,13210,0
United States,Jun 15 2021,12843,0
United States,Jun 14 2021,8283,0
United States,Jun 13 2021,8590,0
United States,Jun 12 2021,12468,0
United States,Jun 11 2021,14013,0
United States,Jun 10 2021,16062,1
United States,Jun  9 2021,19099,464
United States,Jun  8 2021,14579,0
United States,Jun  7 2021,9961,0
United States,Jun  6 2021,10980,0
United States,Jun  5 2021,14791,0
United States,Jun  4 2021,18599,0
United States,Jun  3 2021,18659,0
United States,Jun  2 2021,16241,0
United States,Jun  1 2021,8918,0
United States,May 31 2021,8984,1
United States,May 30 2021,11999,0
United States,May 29 2021,16156,0
United States,May 28 2021,24384,0
United States,May 27 2021,22555,0
United States,May 26 2021,23719,0
United States,May 25 2021,23791,0
United States,May 24 2021,16104,0
United States,May 23 2021,15719,0
United States,May 22 2021,22217,0
United States,May 21 2021,28256,0
United States,May 20 2021,27956,0
United States,May 19 2021,27887,0
United States,May 18 2021,28042,0
United States,May 17 2021,19497,0
United States,May 16 2021,20961,0
United States,May 15 2021,29750,42
United States,May 14 2021,35427,0
United States,May 13 2021,40999,0
United States,May 12 2021,35901,0
United States,May 11 2021,33598,0
United States,May 10 2021,24737,0
United States,May  9 2021,27197,0
United States,May  8 2021,36847,0
United States,May  7 2021,44605,0
United States,May  6 2021,43402,0
United States,May  5 2021,45279,0
United States,May  4 2021,43136,0
United States,May  3 2021,33230,0
United States,May  2 2021,36691,0
United States,May  1 2021,47983,0
United States,Apr 30 2021,55300,0
United States,Apr 29 2021,56716,0
United States,Apr 28 2021,55288,0
United States,Apr 27 2021,50938,0
United States,Apr 26 2021,39866,-9005
United States,Apr 25 2021,40715,0
United States,Apr 24 2021,51920,0
United States,Apr 23 2021,64604,0
United States,Apr 22 2021,61693,0
United States,Apr 21 2021,64175,0
United States,Apr 20 2021,58892,0
United States,Apr 19 2021,35961,0
United States,Apr 18 2021,49210,0
United States,Apr 17 2021,78008,0
United States,Apr 16 2021,70886,0
United States,Apr 15 2021,74985,0
United States,Apr 14 2021,72354,0
United States,Apr 13 2021,72171,0
United States,Apr 12 2021,62634,0
United States,Apr 11 2021,53490,0
United States,Apr 10 2021,68054,0
United States,Apr  9 2021,78863,72
United States,Apr  8 2021,75694,0
United States,Apr  7 2021,77910,0
United States,Apr  6 2021,63268,0
United States,Apr  5 2021,56910,0
United States,Apr  4 2021,44294,0
United States,Apr  3 2021,65489,0
United States,Apr  2 2021,69529,0
United States,Apr  1 2021,74443,0
United States,Mar 31 2021,71462,0
United States,Mar 30 2021,62356,0
United States,Mar 29 2021,57810,0
United States,Mar 28 2021,52894,0
United States,Mar 27 2021,63354,0
United States,Mar 26 2021,76681,0
United States,Mar 25 2021,66382,0
United States,Mar 24 2021,67150,0
United States,Mar 23 2021,58489,0
United States,Mar 22 2021,48560,0
United States,Mar 21 2021,44956,0
United States,Mar 20 2021,58369,0
United States,Mar 19 2021,62281,0
United States,Mar 18 2021,62864,0
United States,Mar 17 2021,62391,0
United States,Mar 16 2021,52066,0
United States,Mar 15 2021,43456,0
United States,Mar 14 2021,47246,0
United States,Mar 13 2021,53397,0
United States,Mar 12 2021,62860,0
United States,Mar 11 2021,60535,0
United States,Mar 10 2021,62218,0
United States,Mar  9 2021,53497,891
United States,Mar  8 2021,42989,0
United States,Mar  7 2021,43518,0
United States,Mar  6 2021,57322,0
United States,Mar  5 2021,64234,0
United States,Mar  4 2021,65745,0
United States,Mar  3 2021,65770,0
United States,Mar  2 2021,55217,0
United States,Mar  1 2021,50967,0
United States,Feb 28 2021,51628,0
United States,Feb 27 2021,67910,0
United States,Feb 26 2021,73625,0
United States,Feb 25 2021,72006,0
United States,Feb 24 2021,72977,0
United States,Feb 23 2021,71027,0
United States,Feb 22 2021,56240,0
United States,Feb 21 2021,55772,0
United States,Feb 20 2021,66028,0
United States,Feb 19 2021,73200,0
United States,Feb 18 2021,68757,0
United States,Feb 17 2021,64576,0
United States,Feb 16 2021,57849,0
United States,Feb 15 2021,57696,0
United States,Feb 14 2021,66667,0
United States,Feb 13 2021,84452,0
United States,Feb 12 2021,97923,0
United States,Feb 11 2021,99232,0
United States,Feb 10 2021,99465,0
United States,Feb  9 2021,91967,0
United States,Feb  8 2021,82253,0
United States,Feb  7 2021,91480,0
United States,Feb  6 2021,108092,0
United States,Feb  5 2021,125534,0
United States,Feb  4 2021,125149,0
United States,Feb  3 2021,110273,0
United States,Feb  2 2021,122552,0
United States,Feb  1 2021,128453,0
United States,Jan 31 2021,111472,0
United States,Jan 30 2021,137375,0
United States,Jan 29 2021,164179,0
United States,Jan 28 2021,156840,0
United States,Jan 27 2021,160016,0
United States,Jan 26 2021,147894,0
United States,Jan 25 2021,133857,0
United States,Jan 24 2021,143550,0
United States,Jan 23 2021,164588,0
United States,Jan 22 2021,190490,0
United States,Jan 21 2021,189661,0
United States,Jan 20 2021,189263,0
United States,Jan 19 2021,150917,584
United States,Jan 18 2021,151194,0
United States,Jan 17 2021,182569,0
United States,Jan 16 2021,212814,0
United States,Jan 15 2021,239968,0
United States,Jan 14 2021,224283,0
United States,Jan 13 2021,229424,0
United States,Jan 12 2021,218671,0
United States,Jan 11 2021,204461,0
United States,Jan 10 2021,223513,0
United States,Jan  9 2021,255175,0
United States,Jan  8 2021,294016,0
United States,Jan  7 2021,271065,0
United States,Jan  6 2021,259758,0
United States,Jan  5 2021,245057,0
United States,Jan  4 2021,174851,0
United States,Jan  3 2021,205420,0
United States,Jan  2 2021,224282,0
United States,Jan  1 2021,229369,0
United States,Dec 31 2020,231060,0
United States,Dec 30 2020,238875,0
United States,Dec 29 2020,210241,0
United States,Dec 28 2020,178985,0
United States,Dec 27 2020,154978,0
United States,Dec 26 2020,149188,0
United States,Dec 25 2020,159275,0
United States,Dec 24 2020,202343,0
United States,Dec 23 2020,228465,0
United States,Dec 22 2020,199657,0
United States,Dec 21 2020,183970,0
United States,Dec 20 2020,188033,0
United States,Dec 19 2020,201791,0
United States,Dec 18 2020,237458,0
United States,Dec 17 2020,248018,0
United States,Dec 16 2020,241932,0
United States,Dec 15 2020,200894,0
United States,Dec 14 2020,197603,0
United States,Dec 13 2020,180743,0
United States,Dec 12 2020,216108,0
United States,Dec 11 2020,248757,0
United States,Dec 10 2020,208876,0
United States,Dec  9 2020,222541,0
United States,Dec  8 2020,226563,0
United States,Dec  7 2020,186541,0
United States,Dec  6 2020,177327,0
United States,Dec  5 2020,205778,0
United States,Dec  4 2020,225457,0
United States,Dec  3 2020,218913,0
United States,Dec  2 2020,211407,0
United States,Dec  1 2020,192546,0
United States,Nov 30 2020,153875,0
United States,Nov 29 2020,141310,0
United States,Nov 28 2020,144713,0
United States,Nov 27 2020,164388,0
United States,Nov 26 2020,145028,0
United States,Nov 25 2020,195527,0
United States,Nov 24 2020,175925,0
United States,Nov 23 2020,160725,0
United States,Nov 22 2020,150920,0
United States,Nov 21 2020,173467,0
United States,Nov 20 2020,195146,0
United States,Nov 19 2020,190288,0
United States,Nov 18 2020,172826,0
United States,Nov 17 2020,167992,0
United States,Nov 16 2020,152482,0
United States,Nov 15 2020,140050,0
United States,Nov 14 2020,163782,0
United States,Nov 13 2020,178526,0
United States,Nov 12 2020,163908,0
United States,Nov 11 2020,154104,0
United States,Nov 10 2020,148095,0
United States,Nov  9 2020,125081,0
United States,Nov  8 2020,112058,0
United States,Nov  7 2020,129238,0
United States,Nov  6 2020,134553,0
United States,Nov  5 2020,123777,0
United States,Nov  4 2020,115978,0
United States,Nov  3 2020,99112,0
United States,Nov  2 2020,87189,0
United States,Nov  1 2020,74374,67475
United States,Oct 31 2020,93270,0
United States,Oct 30 2020,98048,0
United States,Oct 29 2020,91707,0
United States,Oct 28 2020,85428,0
United States,Oct 27 2020,75826,0
United States,Oct 26 2020,70171,0
United States,Oct 25 2020,65931,0
United States,Oct 24 2020,76389,0
United States,Oct 23 2020,83173,0
United States,Oct 22 2020,75036,0
United States,Oct 21 2020,70560,0
United States,Oct 20 2020,58978,0
United States,Oct 19 2020,62184,0
United States,Oct 18 2020,48991,0
United States,Oct 17 2020,54319,0
United States,Oct 16 2020,69579,0
United States,Oct 15 2020,63395,0
United States,Oct 14 2020,58205,0
United States,Oct 13 2020,50811,0
United States,Oct 12 2020,49773,0
United States,Oct 11 2020,44946,0
United States,Oct 10 2020,53916,0
United States,Oct  9 2020,59097,0
United States,Oct  8 2020,55664,0
United States,Oct  7 2020,54791,0
United States,Oct  6 2020,41985,0
United States,Oct  5 2020,41605,0
United States,Oct  4 2020,35653,0
United States,Oct  3 2020,47743,0
United States,Oct  2 2020,51159,0
United States,Oct  1 2020,47491,0
United States,Sep 30 2020,46570,0
United States,Sep 29 2020,38941,0
United States,Sep 28 2020,39160,0
United States,Sep 27 2020,35379,0
United States,Sep 26 2020,42765,0
United States,Sep 25 2020,50219,0
United States,Sep 24 2020,46409,0
United States,Sep 23 2020,42949,0
United States,Sep 22 2020,50108,0
United States,Sep 21 2020,41636,0
United States,Sep 20 2020,34276,0
United States,Sep 19 2020,42373,0
United States,Sep 18 2020,48188,0
United States,Sep 17 2020,45392,0
United States,Sep 16 2020,44923,0
United States,Sep 15 2020,37229,0
United States,Sep 14 2020,34761,0
United States,Sep 13 2020,32894,0
United States,Sep 12 2020,40037,0
United States,Sep 11 2020,44597,0
United States,Sep 10 2020,39102,0
United States,Sep  9 2020,35564,0
United States,Sep  8 2020,28616,0
United States,Sep  7 2020,24589,0
United States,Sep  6 2020,33988,0
United States,Sep  5 2020,41303,0
United States,Sep  4 2020,51294,0
United States,Sep  3 2020,45571,0
United States,Sep  2 2020,42794,1705
United States,Sep  1 2020,38841,0
United States,Aug 31 2020,39566,0
United States,Aug 30 2020,36633,0
United States,Aug 29 2020,41018,0
United States,Aug 28 2020,46939,0
United States,Aug 27 2020,47226,0
United States,Aug 26 2020,47494,0
United States,Aug 25 2020,40932,0
United States,Aug 24 2020,36025,0
United States,Aug 23 2020,37082,0
United States,Aug 22 2020,41839,0
United States,Aug 21 2020,47704,0
United States,Aug 20 2020,47068,0
United States,Aug 19 2020,47290,0
United States,Aug 18 2020,41716,0
United States,Aug 17 2020,41819,0
United States,Aug 16 2020,41912,0
United States,Aug 15 2020,51563,0
